ID;ID-ELEMENTO 01;ELEMENTO 01;ID-ELEMENTO 02;ELEMENTO 02;ID-ELEMENTO 03;ELEMENTO 03;ID-ELEMENTO 04;ELEMENTO 04;ID-ELEMENTO 05;ELEMENTO 05;DISCIPLINA 01;DISCIPLINA 02;DISCIPLINA 03;DISCIPLINA 04;DISCIPLINA 05;DISCIPLINA 06;DISCIPLINA 07;STATUS;EMPREENDIMENTO;RESPONSÁVEL;FASE;TIPO;LOCAL;PRAZO;PRIORIDADE;PRIMEIRA ALTERAÇÃO;ÚLTIMA ALTERAÇÃO;MARCADOR 01;MARCADOR 02;MARCADOR 03
1;3088;Escada;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Semienterrado;07-02-2022;NORMAL;08/02/2022;18/08/2022;I;;
2;3088;Escada;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Ausência;Pavimento Tipo;07-02-2022;NORMAL;08/02/2022;22/08/2022;I;;
3;9604;Shaft/Coluna falsa;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;07-02-2022;CRÍTICO;08/02/2022;18/08/2022;I;;
4;3500;Laje;;;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Oscar Freire;Construção virtual 01;Inconsistência Técnica;Pavimento Tipo;07-02-2022;NORMAL;08/02/2022;18/08/2022;I;;
5;8899;Elevador;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Pavimento Coberta;07-02-2022;CRÍTICO;08/02/2022;18/08/2022;I;;
6;6588;Nível;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Ausência;Pavimento Tipo;08-02-2022;SIMPLES;09/02/2022;18/08/2022;I;;
7;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Geral;08-02-2022;CRÍTICO;09/02/2022;22/08/2022;I;;
8;1700;Jardineira;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Pavimento Coberta;08-02-2022;CRÍTICO;09/02/2022;18/08/2022;I;;
9;4043;Alvenaria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Área comum;08-02-2022;SIMPLES;09/02/2022;18/08/2022;I;;
10;6638;Exaustão;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Pavimento Semienterrado;08-02-2022;NORMAL;09/02/2022;18/08/2022;I;;
11;9698;Quadro de esquadrias;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Geral;08-02-2022;CRÍTICO;09/02/2022;18/08/2022;I;;
12;9873;Pilar;4496;Viga;7895;Esquadria;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;08-02-2022;CRÍTICO;09/02/2022;18/08/2022;I;S;
13;3088;Escada;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;08-02-2022;NORMAL;09/02/2022;18/08/2022;I;;
14;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Geral;08-02-2022;CRÍTICO;09/02/2022;22/08/2022;I;;
15;6588;Nível;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Área comum;08-02-2022;CRÍTICO;09/02/2022;18/08/2022;I;;
16;3088;Escada;;;;;;;;;Arquitetura; Incêndio;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Pavimento Tipo;08-02-2022;NORMAL;09/02/2022;18/08/2022;I;;
17;3088;Escada;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Cortes;08-02-2022;CRÍTICO;09/02/2022;18/08/2022;I;;
18;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Geral;08-02-2022;SIMPLES;09/02/2022;22/08/2022;I;;
19;9698;Quadro de esquadrias;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;08-02-2022;NORMAL;09/02/2022;18/08/2022;I;;
20;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Geral;08-02-2022;CRÍTICO;09/02/2022;22/08/2022;I;;
21;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Semienterrado;08-02-2022;NORMAL;09/02/2022;18/08/2022;I;;
22;9873;Pilar;;;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Pavimento Coberta;08-02-2022;CRÍTICO;09/02/2022;18/08/2022;I;;
23;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Semienterrado;08-02-2022;SIMPLES;09/02/2022;18/08/2022;I;;
24;1700;Jardineira;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Ausência;Pavimento Semienterrado;08-02-2022;NORMAL;09/02/2022;18/08/2022;I;;
25;2898;Rampa;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Pavimento Coberta;08-02-2022;NORMAL;09/02/2022;18/08/2022;I;;
26;3088;Escada;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Coberta;08-02-2022;NORMAL;09/02/2022;18/08/2022;I;;
27;6588;Nível;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Pavimento Coberta;08-02-2022;SIMPLES;09/02/2022;18/08/2022;I;S;
28;4043;Alvenaria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Ausência;Pavimento Tipo;08-02-2022;NORMAL;09/02/2022;18/08/2022;I;;
29;6604;Vaga de estacionamento;8715;Bloco de coroamento;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Pavimento Semienterrado;08-02-2022;NORMAL;09/02/2022;22/08/2022;I;;
30;7069;Pé direito/Pé esquerdo;;;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Semienterrado;08-02-2022;CRÍTICO;09/02/2022;18/08/2022;I;S;
31;4650;Reservatório/retardo;;;;;;;;;Arquitetura; Hidrossanitário; Incêndio;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Pavimento Semienterrado;08-02-2022;NORMAL;09/02/2022;18/08/2022;I;;
32;4238;Forro;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Coberta;08-02-2022;SIMPLES;09/02/2022;18/08/2022;I;;
33;4238;Forro;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Pavimento Tipo;08-02-2022;SIMPLES;09/02/2022;18/08/2022;I;;
34;6588;Nível;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;08-02-2022;SIMPLES;09/02/2022;18/08/2022;I;;
35;8840;Vaso sanitário;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;08-02-2022;CRÍTICO;09/02/2022;18/08/2022;I;S;
36;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Casa de lixo e gás;14-02-2022;CRÍTICO;15/02/2022;20/08/2022;I;;
37;3500;Laje;;;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;14-02-2022;NORMAL;15/02/2022;20/08/2022;I;;
38;9531;Quadro de áreas;;;;;;;;;Arquitetura; Incêndio;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Geral;16-02-2022;CRÍTICO;17/02/2022;20/08/2022;I;;
39;8978;Sistema construtivo do SPDA;;;;;;;;;Incêndio;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Geral;-;NORMAL;09/03/2022;20/08/2022;I;;
40;4233;Cuba/Lavatório;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Pavimento Tipo;-;CRÍTICO;16/03/2022;20/08/2022;I;;
41;6978;Pergolado;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Pavimento Coberta;-;NORMAL;16/03/2022;20/08/2022;I;;
42;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Geral;-;NORMAL;16/03/2022;20/08/2022;I;S;
43;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;24/03/2022;22/06/2022;VERIFICAR;VERIFICAR;VERIFICAR
44;6588;Nível;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Geral;-;NORMAL;06/04/2022;20/08/2022;I;;
45;4595;Padrão da construtora;;;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Oscar Freire;Construção virtual 01;Concepção de projeto;Geral;-;NORMAL;20/04/2022;20/08/2022;;;D
46;3088;Escada;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Semienterrado;-;CRÍTICO;26/04/2022;20/08/2022;I;;
47;6588;Nível;;;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Henrique Figueiroa;Construção virtual 01;Conflito;Pavimento Semienterrado;-;SIMPLES;26/04/2022;20/08/2022;I;;
48;4043;Alvenaria;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Térreo;-;SIMPLES;26/04/2022;20/08/2022;I;;
49;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Semienterrado;-;SIMPLES;27/04/2022;20/08/2022;I;;
50;7895;Esquadria;;;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Henrique Figueiroa;Construção virtual 01;Inconsistência Técnica;Pavimento Semienterrado;-;NORMAL;27/04/2022;20/08/2022;I;;
51;6588;Nível;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Térreo;-;NORMAL;27/04/2022;20/08/2022;I;;
52;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;-;SIMPLES;27/04/2022;20/08/2022;I;;
53;8840;Louça sanitária;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;-;CRÍTICO;27/04/2022;20/08/2022;I;S;
54;7895;Esquadria;9873;Pilar;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;-;NORMAL;27/04/2022;20/08/2022;I;;
55;9873;Pilar;;;;;;;;;Estrutura;;;;;;;Resolvida;Oscar Freire;Henrique Figueiroa;Construção virtual 01;Falha de representação;Pavimento Tipo;-;CRÍTICO;27/04/2022;20/08/2022;I;;
56;9604;Shaft;;;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Henrique Figueiroa;Construção virtual 01;Ausência;Pavimento Tipo;-;NORMAL;27/04/2022;20/08/2022;I;;
57;9604;Shaft;;;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Henrique Figueiroa;Construção virtual 01;Conflito;Pavimento Tipo;-;NORMAL;27/04/2022;20/08/2022;I;;
58;7373;Detalhe construtivo;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;-;SIMPLES;27/04/2022;20/08/2022;;;D
59;9698;Quadro de esquadrias;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;-;CRÍTICO;27/04/2022;20/08/2022;I;;
60;6588;Nível;;;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;-;SIMPLES;02/05/2022;20/08/2022;I;;
61;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;-;SIMPLES;03/05/2022;20/08/2022;I;;
62;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Pavimento Tipo;-;NORMAL;03/05/2022;22/08/2022;I;;
63;9604;Shaft;;;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Oscar Freire;Construção virtual 01;Concepção de projeto;Pavimento Tipo;-;CRÍTICO;03/05/2022;22/08/2022;I;S;
64;7069;Pé direito;;;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Pavimento Semienterrado;-;NORMAL;03/05/2022;20/08/2022;I;;
65;7895;Esquadria;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;-;CRÍTICO;03/05/2022;20/08/2022;I;;
66;7373;Detalhe construtivo;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Semienterrado;-;SIMPLES;03/05/2022;20/08/2022;I;;
67;4620;Muro;;;;;;;;;Estrutura;;;;;;;Aberta;Oscar Freire;Henrique Figueiroa;Construção virtual 01;Ausência;Casa de lixo e gás;-;SIMPLES;03/05/2022;20/08/2022;;;D
68;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;03/05/2022;03/05/2022;VERIFICAR;VERIFICAR;VERIFICAR
69;9003;Arquivo disponibilizaddo;;;;;;;;;Arquitetura;;;;;;;Resolvida;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Geral;-;NORMAL;04/05/2022;20/08/2022;I;;
70;4043;Alvenaria;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;-;SIMPLES;04/05/2022;20/08/2022;I;S;
71;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Geral;-;NORMAL;04/05/2022;20/08/2022;I;;
72;9604;Shaft/Coluna falsa;;;;;;;;;Arquitetura; Estrutura; Hidrossanitário;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;-;CRÍTICO;22/06/2022;20/08/2022;I;;
73;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Semienterrado;-;SIMPLES;22/06/2022;20/08/2022;I;;
74;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;-;SIMPLES;22/06/2022;20/08/2022;I;;
75;4233;Cuba/Lavatório;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;-;NORMAL;27/06/2022;20/08/2022;I;;
76;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Ausência;Pavimento Tipo;-;SIMPLES;27/06/2022;20/08/2022;I;;
77;4233;Cuba/Lavatório;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Pavimento Coberta;-;SIMPLES;27/06/2022;22/08/2022;I;;
78;4043;Alvenaria;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Coberta;-;SIMPLES;27/06/2022;22/08/2022;I;;
79;4496;Viga;;;;;;;;;Estrutura;;;;;;;Aberta;Oscar Freire;Henrique Figueiroa;Construção virtual 01;Falha de representação;Pavimento Coberta;-;NORMAL;27/06/2022;20/08/2022;I;;
80;7640;Piscina;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Ausência;Pavimento Coberta;-;SIMPLES;27/06/2022;20/08/2022;I;;
81;6588;Nível;;;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Pavimento Coberta;-;NORMAL;27/06/2022;20/08/2022;I;;D
82;4496;Viga;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Coberta;-;SIMPLES;27/06/2022;20/08/2022;;;D
83;6588;Nível;;;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Oscar Freire;Construção virtual 01;Concepção de projeto;Pavimento Coberta;-;SIMPLES;27/06/2022;20/08/2022;;;D
84;3088;Escada;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Semienterrado;-;SIMPLES;27/06/2022;20/08/2022;I;;
85;9531;Quadro de áreas;;;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Oscar Freire;Construção virtual 01;Falha de representação;Pavimento Tipo;-;CRÍTICO;27/06/2022;20/08/2022;I;;
86;6604;Vaga de estacionamento;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Semienterrado;-;SIMPLES;27/06/2022;20/08/2022;I;;
87;6604;Vaga de estacionamento;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Oscar Freire;Construção virtual 01;Conflito;Pavimento Semienterrado;-;NORMAL;27/06/2022;20/08/2022;I;;
88;7895;Esquadria;;;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Geral;-;SIMPLES;27/06/2022;20/08/2022;;S;
89;6604;Vaga de estacionamento;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Resolvida;Oscar Freire;Oscar Freire;Construção virtual 01;Conflito;Pavimento Semienterrado;-;NORMAL;27/06/2022;20/08/2022;I;;
90;7895;Esquadria;4043;Alvenaria;;;;;;;Arquitetura;;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento 01;-;CRÍTICO;27/06/2022;20/08/2022;I;S;
91;9531;Quadro de áreas;;;;;;;;;Estrutura;;;;;;;Aberta;Oscar Freire;Henrique Figueiroa;Construção virtual 01;Concepção de projeto;Pavimento Tipo;-;SIMPLES;27/06/2022;20/08/2022;;;D
92;8899;Elevador;;;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Oscar Freire;Construção virtual 01;Falha de representação;Pavimento Coberta;-;SIMPLES;27/06/2022;20/08/2022;I;;
93;4496;Viga;;;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Oscar Freire;Construção virtual 01;Concepção de projeto;Pavimento Tipo;-;SIMPLES;27/06/2022;22/08/2022;;S;D
94;9873;Pilar;;;;;;;;;Estrutura;;;;;;;Aberta;Oscar Freire;Henrique Figueiroa;Construção virtual 01;Falha de representação;Pavimento Coberta;-;SIMPLES;27/06/2022;20/08/2022;I;;
95;3500;Laje;4043;Alvenaria;4496;Viga;9873;Pilar;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Geral;-;CRÍTICO;27/06/2022;20/08/2022;I;;
96;7895;Esquadria;9873;Pilar;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Semienterrado;-;NORMAL;27/06/2022;20/08/2022;;S;
97;3088;Escada;;;;;;;;;Estrutura;;;;;;;Aberta;Oscar Freire;Henrique Figueiroa;Construção virtual 01;Ausência;Pavimento Semienterrado;-;NORMAL;29/06/2022;20/08/2022;I;;
98;9873;Pilar;;;;;;;;;Arquitetura; Estrutura;;;;;;Aberta;Oscar Freire;Poligonus Arquitetura;Construção virtual 01;Concepção de projeto;Geral;-;NORMAL;29/06/2022;20/08/2022;;;D
